SEARCH,GRAMMAR AND PROSODY,ACCENTUATION,CLASSICAL PRONUNCIATION,ECCLESIASTICAL PRONUNCIATION
recordatio," rĕcōrdātĭō̆, ionis, f. ",re-cor-dá-ti-o,rɛkoːrdaːtɪoː̆,rɛkordatsjo
recordo," rĕcōrdo, āre ",re-cór-do,rɛkoːrdo,rɛkordo
recordor," rĕcōrdŏr, aris, ari ",re-cór-dor,rɛkoːrdɔr,rɛkordɔr
recreo," rĕcrĕo, as, are ",ré-cre-o,rɛkrɛo,rɛkrɛo
recte," rēctē, adv. ",rec-te,reːkteː,rekte
rector," rēctŏr, oris, m. ",rec-tor,reːktɔr,rektɔr
rectum," rēctum, i, n. ",rec-tum,reːktʊm,rektum
rectus," rēctus, a, um ",rec-tus,reːktʊs,rektus
recumbo," rĕcūmbo, is, ere, cubui ",re-cúm-bo,rɛkʊːmbo,rɛkumbo
recuperator," rĕcŭpĕrātŏr, ōris, m. ",re-cu-pe-rá-tor,rɛkʊpɛraːtɔr,rɛkupɛratɔr
recupero," rĕcŭpĕro, as, are ",re-cú-pe-ro,rɛkʊpɛro,rɛkupɛro
recurro," rĕcūrro, is, ere, curri, cursum ",re-cúr-ro,rɛkʊːrro,rɛkurro
recuso," rĕcūso, as, are ",re-cú-so,rɛkʊːso,rɛkuso
reddo," rēddo, is, ere, ddidi, dditum ",red-do,reːddo,reddo
redeo," rĕdĕo, is, ire, ii, itum ",ré-de-o,rɛdɛo,rɛdɛo
redigo," rĕdĭgo, is, ere, egi, actum ",ré-di-go,rɛdɪgo,rɛdigo
redimio," rĕdĭmĭo, is, ire, ii, itum ",re-dí-mi-o,rɛdɪmɪo,rɛdimjo
redimo," rĕdĭmo, is, ere, emi, emptum ",ré-di-mo,rɛdɪmo,rɛdimo
redintegro," rĕdīntē̆gro, as, are ",re-dín-te-gro,rɛdiːnteː̆gro,rɛdintĕgro
reditus," rĕdĭtus, us, m. ",ré-di-tus,rɛdɪtʊs,rɛditus
reduco," rĕdūco, is, ere, duxi, ductum ",re-dú-co,rɛdʊːko,rɛduko
redundo," rĕdūndo, as, are ",re-dún-do,rɛdʊːndo,rɛdundo
redux," rĕdūx, ucis ",re-dux,rɛdʊːks,rɛduks
refello," rĕfēllo, is, ere, felli ",re-fél-lo,rɛfeːllo,rɛfello
refercio," rĕfērcĭo, is, ire, fersi, fertum ",re-fér-ci-o,rɛfeːrkɪo,rɛfertʃo
refero," rĕfĕro, fers, ferre, tuli, latum ",ré-fe-ro,rɛfɛro,rɛfɛro
refertus," rĕfērtus, a, um ",re-fér-tus,rɛfeːrtʊs,rɛfertus
reficio," rĕfĭcĭo, is, ere, feci, fectum ",re-fí-ci-o,rɛfɪkɪo,rɛfitʃo
reformido," rĕfōrmīdo, as, are ",re-for-mí-do,rɛfoːrmiːdo,rɛformido
refugio," rĕfŭgĭo, is, ere, fugi ",re-fú-gi-o,rɛfʊgɪo,rɛfudʒo
refugium," rĕfŭgĭum, ii, n. ",re-fú-gi-um,rɛfʊgɪʊm,rɛfudʒum
refulgeo," rĕfūlgĕo, es, ere, fulsi ",re-fúl-ge-o,rɛfʊːlgɛo,rɛfuldʒɛo
regales," rēgāles, ium, m. ",re-gá-les,reːgaːlɛs,regalɛs
regalis," rēgālĭs, e ",re-gá-lis,reːgaːlɪs,regalis
regia," rēgĭa, ae, f. ",ré-gi-a,reːgɪa,redʒa
regie," rēgĭē, adv. ",ré-gi-e,reːgɪeː,redʒe
regimen," rĕgĭmĕn, inis, n. ",ré-gi-men,rɛgɪmɛn,rɛdʒimɛn
regina," rēgīna, ae, f. ",re-gí-na,reːgiːna,redʒina
regio," rĕgĭō̆, onis, f. ",ré-gi-o,rɛgɪoː̆,rɛdʒɔ
regius," rēgĭus, a, um ",ré-gi-us ,reːgɪʊs,redʒus
regno," rēgno, as, are ",re-gno,reːŋno,reɲo
regnum," rēgnŭm, i, n. ",re-gnum,reːŋnʊm,reɲum
rego," rĕgo, is, ere, rexi, rectum ",re-go,rɛgo,rɛgo
regredio," rē̆gredĭo, ere ",re-gré-di-o,reː̆grɛdɪo,rĕgrɛdjo
regredior," rē̆grĕdĭŏr, eris, i, gressus ",re-gré-di-or,reː̆grɛdɪɔr,rĕgrɛdjɔr
regula," rēgŭla, ae, f. ",ré-gu-la,reːgʊla,regula
regulo," rēgŭlo, āre ",ré-gu-lo,reːgʊlo,regulo
regulus," rēgŭlus, i, m. ",ré-gu-lus,reːgʊlʊs,regulus
reicio," rēĭcĭo, is, ere, ieci, iectum ",re-í-ci-o,reːɪkɪo,reitʃo
relego," rĕlĕgo, as, are ",ré-le-go,rɛlɛgo,rɛlɛgo
relego," rĕlĕgo, is, ere, legi, lectum ",ré-le-go,rɛlɛgo,rɛlɛgo
religio," rĕlĭgĭō̆, rēllĭgĭo, onis, f. ",re-lí-gi-o,rɛlɪgɪoː̆,rɛlidʒɔ
religiosus," rĕlĭgĭōsus, a, um ",re-li-gi-ó-sus,rɛlɪgɪoːsʊs,rɛlidʒosus
religo," rĕlĭgo, rĕlĭgas, rĕlĭgāre, religavi, religatum",ré-li-go,rɛlɪgo,rɛligo
relinquo," rĕlīnquo, is, ere, reliqui, relictum ",re-lín-quo,rɛliːnkʷo,rɛlinkwo
reliquiae," rē̆lĭquĭāe, arum, f. pl. ",re-lí-qui-æ,reː̆lɪkʷɪae̯,rĕlikwjɛ
reliquum," rĕlĭquum, rĕlĭcum, i, n. ",ré-li-quum,rɛlɪkʷʊm,rɛlikwum
reliquus," rĕlĭquus, rĕlĭqus, a, um ",ré-li-quus,rɛlɪkʷʊs,rɛlikwus
remaneo," rĕmănĕo, es, ere, mansi, mansum ",re-má-ne-o,rɛmanɛo,rɛmanɛo
remedium," rĕmĕdĭŭm, i, n. ",re-mé-di-um,rɛmɛdɪʊm,rɛmɛdjum
remeo," rĕmĕo, as, are ",ré-me-o,rɛmɛo,rɛmɛo
remex," rēmēx, igis, m. ",re-mex,reːmeːks,remeks
Remi," Rēmi, orum, m. ",Re-mi,reːmɪ,remi
remigium," rēmĭgĭŭm, i, n. ",re-mí-gi-um,reːmɪgɪʊm,remidʒum
remissio," rĕmīssĭo, ōnis, f. ",re-mís-si-o,rɛmiːssɪo,rɛmissjo
remissus," rĕmīssus, a, um ",re-mís-sus,rɛmiːssʊs,rɛmissus
remitto," rĕmītto, is, ere, misi, missum ",re-mít-to,rɛmiːtto,rɛmitto
remotus," rĕmōtus, a, um ",re-mó-tus,rɛmoːtʊs,rɛmotus
removeo," rĕmŏvĕo, es, ere, moui, motum ",re-mó-ve-o,rɛmɔwɛo,rɛmɔvɛo
Remus," rēmus, i, m. ",re-mus,reːmʊs,remus
renovo," rĕnŏvo, as, are ",ré-no-vo,rɛnɔwo,rɛnɔvo
renuntio," rĕnūntĭo, as, are ",re-nún-ti-o,rɛnʊːntɪo,rɛnuntsjo
renuntius," rĕnūntĭus, ii, m. ",re-nún-ti-us,rɛnʊːntɪʊs,rɛnuntsjus
reor," rĕŏr, reris, reri, ratus sum ",re-or,rɛɔr,rɛɔr
reparo," rĕpăro, as, are ",ré-pa-ro,rɛparo,rɛparo
repello," rĕpēllo, is, ere, repuli, repulsum ",re-pél-lo,rɛpeːllo,rɛpello
repens," rĕpēns, adv. ",re-pens,rɛpeːns,rɛpens
repente," rĕpēntĕ, adv. ",re-pén-te,rɛpeːntɛ,rɛpentɛ
repentinus," rĕpēntīnus, a, um ",re-pen-tí-nus,rɛpeːntiːnʊs,rɛpentinus
reperio," rĕpĕrĭo, is, ire, reperi, repertum ",re-pé-ri-o,rɛpɛrɪo,rɛpɛrjo
repeto," rĕpĕto, is, ere, iui/ii, titum ",ré-pe-to,rɛpɛto,rɛpɛto
repleo," rē̆plĕo, es, ere, eui, etum ",ré-ple-o,reː̆plɛo,rĕplɛo
repo," rēpo, is, ere, repsi, reptum ",re-po,reːpo,repo
repono," rĕpōno, is, ere, posui, positum ",re-pó-no,rɛpoːno,rɛpono
reporto," rĕpōrto, as, are ",re-pór-to,rɛpoːrto,rɛporto
reposco," rĕpōsco, is, ĕre",re-pós-co,rɛpoːsko,rɛposko
reposco," rĕpōsco, ōnis, m. ",re-pós-co,rɛpoːsko,rɛposko
repraesento," rĕprāesēnto, as, are ",re-præ-sén-to,rɛprae̯seːnto,rɛprɛsento
reprehendo," rĕprĕhēndo, is, ere, di, sum ",re-pre-hén-do,rɛprɛheːndo,rɛprɛendo
reprimo," rĕprĭmo, is, ere, pressi, pressum ",ré-pri-mo,rɛprɪmo,rɛprimo
repudio," rĕpŭdĭo, as, are ",re-pú-di-o,rɛpʊdɪo,rɛpudjo
repudium," rĕpŭdĭŭm, ii, n. ",re-pú-di-um,rɛpʊdɪʊm,rɛpudjum
repugno," rĕpūgno, as, are ",re-pú-gno,rɛpʊːŋno,rɛpuɲo
repulsa," rĕpūlsa, ae, f. ",re-púl-sa,rɛpʊːlsa,rɛpulsa
repulso," rĕpūlso, as, āre ",re-púl-so,rɛpʊːlso,rɛpulso
repulsus," rĕpūlsus, a, um ",re-púl-sus,rɛpʊːlsʊs,rɛpulsus
reputo," rĕpŭto, as, are ",ré-pu-to,rɛpʊto,rɛputo
requies," requĭes, ei, f. ",ré-qui-es,rɛkʷɪɛs,rɛkwjɛs
requies," rĕquĭēs, etis, f. ",ré-qui-es,rɛkʷɪeːs,rɛkwjes
requiesco," rĕquĭēsco, is, ere, quieui, quietum ",re-qui-és-co,rɛkʷɪeːsko,rɛkwjesko
requiro," rĕquīro, is, ere, i, quisitum ",re-quí-ro,rɛkʷiːro,rɛkwiro
res," rēs, rei, f. ",res,reːs,res
rescindo," rēscīndo, is, ere; scidi, scissum ",re-scín-do,reːskiːndo,reʃindo
rescribo," rēscrībo, is, ere, scripsi, scriptum ",re-scrí-bo,reːskriːbo,reskribo
resero," rĕsĕro, as, are ",ré-se-ro,rɛsɛro,rɛsɛro
resero," rĕsĕro, rĕsĕris, rĕsĕrĕre, resēvi",ré-se-ro,rɛsɛro,rɛsɛro
reservo," rĕsērvo, as, are ",re-sér-vo,rɛseːrwo,rɛservo
resideo," rĕsĭdĕo, es, ere, sedi, sessum ",re-sí-de-o,rɛsɪdɛo,rɛsidɛo
resido," rĕsīdo, is, ere, sēdi, sessum, intr. ",re-sí-do,rɛsiːdo,rɛsido
resisto," rĕsīsto, is, ere, stiti ",re-sís-to,rɛsiːsto,rɛsisto
resolvo," rĕsōlvo, is, ere, solui, solutum ",re-sól-vo,rɛsoːlwo,rɛsolvo
resono," rĕsŏno, as, are ",ré-so-no,rɛsɔno,rɛsɔno
resonus," rĕsŏnus, a, um ",ré-so-nus,rɛsɔnʊs,rɛsɔnus
respergo," rēspērgo, ĭnis, f. ",re-spér-go,reːspeːrgo,respergo
respergo," rēspērgo, is, ere, spersi, spersum ",re-spér-go,reːspeːrgo,respergo
respicio," rēspĭcĭo, is, ere, spexi, spectum ",re-spí-ci-o,reːspɪkɪo,respitʃo
respiro," rēspīro, as, are ",re-spí-ro,reːspiːro,respiro
respondeo," rēspōndĕo, es, ere, di, sum ",re-spón-de-o,reːspoːndɛo,respondɛo
responsum," rēspōnsŭm, i, n. ",re-spón-sum,reːspoːnsʊm,responsum
responsus," rēspōnsus, a, um ",re-spón-sus,reːspoːnsʊs,responsus
responsus," rēspōnsŭs, us, m. ",re-spón-sus,reːspoːnsʊs,responsus
respublica," rēspūblĭca, reipublicae ",re-spú-bli-ca,reːspʊːblɪka,respublika
respuo," rēspŭo, is, ere, ui",ré-spu-o,reːspwo,respuo
restinguo," rēstīngụo, is, ere, nxi, nctum ",res-tín-guo,reːstiːngwo,restingwo
restituo," rēstĭtŭo, is, ere, tui, tutum ",res-tí-tu-o,reːstɪtwo,restituo
resto," rēsto, as, are ",res-to,reːsto,resto
resumo," rĕsūmo, is, ere, sumpsi, sumptum ",re-sú-mo,rɛsʊːmo,rɛsumo
resurgo," rĕsūrgo, is, ere, rexi, rectum ",re-súr-go,rɛsʊːrgo,rɛsurgo
retardo," rĕtārdo, as, are ",re-tár-do,rɛtaːrdo,rɛtardo
rete," rēte, is, n. ",re-te,reːtɛ,retɛ
reticeo," rĕtĭcĕo, es, ere, cui, - ",re-tí-ce-o,rɛtɪkɛo,rɛtitʃɛo
retineo," rĕtĭnĕo, es, ere, ui, tentum ",re-tí-ne-o,rɛtɪnɛo,rɛtinɛo
retis," rētĭs, is, m. ",re-tis,reːtɪs,retis
retracto," rē̆trācto, as, are ",re-trác-to,reː̆traːkto,rĕtrakto
retractus," rĕtrāctus, a, um ",re-trác-tus,rɛtraːktʊs,rɛtraktus
retraho," rē̆trăho, is, ere, traxi, tractum ",ré-tra-ho,reː̆traho,rĕtrao
retro," rē̆trō, adv. ",re-tro,reː̆troː,rĕtro
reus," rĕus, i, m. ",re-us,rɛʊs,rɛus
revello," rĕvēllo, is, ere, velli, vulsum ",re-vél-lo,rɛweːllo,rɛvello
revera," rēvērā, adv. ",re-vé-ra,reːweːraː,revera
reverens," rĕvĕrēns, entis ",ré-ve-rens,rɛwɛreːns,rɛvɛrens
reverentia," rĕvĕrēntĭa, ae, f. ",re-ve-rén-ti-a,rɛwɛreːntɪa,rɛvɛrentsja
revereo," rĕvĕrĕo, ēre ",re-vé-re-o,rɛwɛrɛo,rɛvɛrɛo
revereor," rĕvĕrĕŏr, eris, eri, reueritus sum ",re-vé-re-or,rɛwɛrɛɔr,rɛvɛrɛɔr
reverto," rĕvērto, is, ere, i, sum ",re-vér-to,rɛweːrto,rɛverto
revertor," rĕvērtŏr, rĕvōrtŏr, eris, i, reuersus sum ",re-vér-tor,rɛweːrtɔr,rɛvertɔr
reviso," rĕvīso, is, ere, uisi, uisum ",re-ví-so,rɛwiːso,rɛviso
revoco," rĕvŏco, as, are ",ré-vo-co,rɛwɔko,rɛvɔko
revolvo," rĕvōlvo, is, ere, uolui, uolutum ",re-vól-vo,rɛwoːlwo,rɛvolvo
rex," rēx, regis, m. ",rex,reːks,reks
Rhenus," Rhēnus, i, m. ",Rhe-nus,rheːnʊs,renus
rhetor," rhētŏr, oris, m. ",rhe-tor,rheːtɔr,retɔr
Rhodii," Rhŏdĭi, orum, m. ",Rhó-di-i,rhɔdɪɪ,rɔdji
Rhodius," Rhŏdĭus, a, um ",Rhó-di-us,rhɔdɪʊs,rɔdjus
Rhodos," Rhŏdŏs, i, f. ",Rho-dos,rhɔdɔs,rɔdɔs
Rhodus," Rhŏdus, i, f. ",Rho-dus,rhɔdʊs,rɔdus
rideo," rīdĕo, es, ere, risi, risum ",rí-de-o,riːdɛo,ridɛo
ridiculus," rīdĭcŭlus, a, um ",ri-dí-cu-lus,riːdɪkʊlʊs,ridikulus
rigeo," rĭgĕo, es, ere, -, - ",rí-ge-o,rɪgɛo,ridʒɛo
rigidus," rĭgĭdus, a, um ",rí-gi-dus,rɪgɪdʊs,ridʒidus
rigo," rĭgo, as, are ",ri-go,rɪgo,rigo
rigor," rĭgŏr, oris, m. ",ri-gor,rɪgɔr,rigɔr
ripa," rīpa, ae, f. ",ri-pa,riːpa,ripa
risus," rīsus, a, um ",ri-sus,riːsʊs,risus
rite," rītĕ, adv. ",ri-te,riːtɛ,ritɛ
ritus," rītus, us, m. ",ri-tus,riːtʊs,ritus
rivus," rīvus, i, m. ",ri-vus,riːwʊs,rivus
rixa," rīxa, ae, f. ",ri-xa,riːksa,riksa
rixo," rīxo, āre, intr. ",ri-xo,riːkso,rikso
robur," rōbŭr, rōbus, oris, n. ",ro-bur,roːbʊr,robur
robustus," rōbūstus, a, um ",ro-bús-tus,roːbʊːstʊs,robustus
rodo," rōdo, is, ere, rosi, rosum ",ro-do,roːdo,rodo
rogatio," rŏgātĭō̆, ionis, f. ",ro-gá-ti-o,rɔgaːtɪoː̆,rɔgatsjo
rogito," rŏgĭto, as, are ",ró-gi-to,rɔgɪto,rɔdʒito
rogo," rŏgo, as, are ",ro-go,rɔgo,rɔgo
rogum," rŏgum, i, n. ",ro-gum,rɔgʊm,rɔgum
rogus," rŏgus, i, m. ",ro-gus,rɔgʊs,rɔgus
Roma," Rōma, ae, f. ",Ro-ma,roːma,roma
Romani," Rōmāni, orum, m. ",Ro-má-ni,roːmaːnɪ,romani
Romanus," Rōmānus, a, um ",Ro-má-nus,roːmaːnʊs,romanus
Romulus," Rōmŭlus, a, um ",Ró-mu-lus,roːmʊlʊs,romulus
ros," rōs, roris, m. ",ros,roːs,ros
rosa," rŏsa, ae, f. ",ro-sa,rɔsa,rɔsa
Roscius," Rōscĭus, a, um ",Ró-sci-us,roːskɪʊs,roʃjus
rostrum," rōstrŭm, i, n. ",ros-trum,roːstrʊm,rostrum
rosus," rōsus, a, um ",ro-sus,roːsʊs,rosus
rota," rŏta, ae, f. ",ro-ta,rɔta,rɔta
roto," rŏto, as, are ",ro-to,rɔto,rɔto
rotundus," rŏtūndus, a, um  ",ro-tún-dus,rɔtʊːndʊs,rɔtundus
rubeo," rŭbĕo, es, ere, rubui ",rú-be-o,rʊbɛo,rubɛo
ruber," rŭbĕr, bra, brum ",ru-ber,rʊbɛr,rubɛr
rubeus," rŭbĕus, a, um ",rú-be-us,rʊbɛʊs,rubɛus
rubor," rŭbŏr, oris, m. ",ru-bor,rʊbɔr,rubɔr
Rubrius," Rū̆brĭus, i, m. ",Rú-bri-us,rʊː̆brɪʊs,rŭbrjus
rubrus," rŭbrus, a, um ",ru-brus,rʊbrʊs,rubrus
rudis," rŭdĭs, e ",ru-dis,rʊdɪs,rudis
rudo," rŭdo, is, ere, divi, ditum ",ru-do,rʊdo,rudo
rufus," rūfus, a, um ",ru-fus,rʊːfʊs,rufus
ruga," rūga, ae, f. ",ru-ga,rʊːga,ruga
rugo," rūgo, as, are ",ru-go,rʊːgo,rugo
ruina," rŭīna, ae, f. ",ru-í-na,rwiːna,ruina
Rullus," Rūllus, i, m. ",Rul-lus,rʊːllʊs,rullus
rumo," rūmo, āre, for rumino, intr. ",ru-mo,rʊːmo,rumo
rumor," rūmŏr, oris, m. ",ru-mor,rʊːmɔr,rumɔr
rumpo," rūmpo, is, ere, rupi, ruptum ",rum-po,rʊːmpo,rumpo
rumpus," rūmpus, i, m. ",rum-pus,rʊːmpʊs,rumpus
ruo," rŭo, is, ere, rui, rutum ",ru-o,rwo,ruo
rupes," rūpēs, is, f. ",ru-pes,rʊːpeːs,rupes
rursus," rūrsŭs, adv. ",rur-sus,rʊːrsʊs,rursus
rus," rūs, ruris, n. ",rus,rʊːs,rus
rusticus," rūstĭcus, a, um ",rús-ti-cus,rʊːstɪkʊs,rustikus
Rutilius," rŭtīlĭus, a, um ",ru-tí-li-us,rʊtiːlɪʊs,rutiljus
rutilus," rŭtĭlus, a, um ",rú-ti-lus,rʊtɪlʊs,rutilus
Rutuli," Rŭtŭli, orum, m. pl. ",Rú-tu-li,rʊtʊlɪ,rutuli
Rutulus," Rŭtŭlus, a, um ",Rú-tu-lus,rʊtʊlʊs,rutulus
Sabini," Săbīni, orum, m. ",Sa-bí-ni,sabiːnɪ,sabini
Sabinum," Săbīnum, i, n. ",Sa-bí-num,sabiːnʊm,sabinum
Sabinus," Săbīnus, a, um ",Sa-bí-nus,sabiːnʊs,sabinus
sacellum," săcēllŭm, i, n. ",sa-cél-lum,sakeːllʊm,satʃellum
sacellus," sacēllus, a, um ",sa-cél-lus,sakeːllʊs,satʃellus
sacellus," săcēllus, i, m. ",sa-cél-lus,sakeːllʊs,satʃellus
sacer," săcĕr, cra, crum ",sa-cer,sakɛr,satʃɛr
sacerdos," săcērdōs, dotis, m. ",sa-cér-dos,sakeːrdoːs,satʃerdos
sacerdotium," săcērdōtĭŭm, i, n. ",sa-cer-dó-ti-um,sakeːrdoːtɪʊm,satʃerdotsjum
sacerdus," săcērdus, i, m. ",sa-cér-dus,sakeːrdʊs,satʃerdus
sacramentum," sā̆crāmēntŭm, i, n. ",sa-cra-mén-tum,saː̆kraːmeːntʊm,sakramentum
sacrarium," sā̆crārĭŭm, ii, n. ",sa-crá-ri-um,saː̆kraːrɪʊm,sakrarjum
sacrarius," sā̆crārĭus, ii, m. ",sa-crá-ri-us,saː̆kraːrɪʊs,sakrarjus
sacratus," sā̆crātus, a, um ",sa-crá-tus,saː̆kraːtʊs,sakratus
sacrificium," sā̆crĭfĭcĭŭm, ii, n. ",sa-cri-fí-ci-um,saː̆krɪfɪkɪʊm,sakrifitʃum
sacrifico," sā̆crĭfĭco, sā̆crŭfĭco, as, are ",sa-crí-fi-co,saː̆krɪfɪko,sakrifiko
sacrificus," sā̆crĭfĭcus, a, um ",sa-crí-fi-cus,saː̆krɪfɪkʊs,sakrifikus
sacro," sā̆cro, as, are ",sa-cro,saː̆kro,sakro
sacrum," sā̆crŭm, i, n. ",sa-crum,saː̆krʊm,sakrum
saeculum," sāecŭlŭm, i, n. ",sǽ-cu-lum,sae̯kʊlʊm,sɛkulum
saepe," sāepĕ, adv. ",sæ-pe,sae̯pɛ,sɛpɛ
saepes," sāepēs, is, f. ",sæ-pes,sae̯peːs,sɛpes
saepio," sāepĭo, is, ire, psi, ptum ",sǽ-pi-o,sae̯pɪo,sɛpjo
saepis," sāepĭs, e ",sæ-pis,sae̯pɪs,sɛpis
saevio," sāevĭo, is, ire, ii, itum ",sǽ-vi-o,sae̯wɪo,sɛvjo
saevitia," sāevĭtĭa, ae, f. ",sæ-ví-ti-a,sae̯wɪtɪa,sɛvitsja
saevus," sāevus, a, um ",sæ-vus,sae̯wʊs,sɛvus
sagitta," săgītta, ae, f. ",sa-gít-ta,sagiːtta,sadʒitta
sagittarius," săgīttārĭus, a, um ",sa-git-tá-ri-us,sagiːttaːrɪʊs,sadʒittarjus
sagitto," săgītto, no perf., ātum, 1 ",sa-gít-to,sagiːtto,sadʒitto
sal," sāl, salis, m. ",sal,saːl,sal
salio," sălĭo, is, ire, salui, saltum ",sá-li-o,salɪo,saljo
sallio," sāllĭo, sălĭo, is, ire, ii, itum ",sál-li-o,saːllɪo,salljo
sallo," sāllo, salsum, ĕre, 3 ",sal-lo,saːllo,sallo
salo," sălo, salsum, ĕre, 3 ",sa-lo,salo,salo
salsus," sālsus, a, um ",sal-sus,saːlsʊs,salsus
saltem," sāltĕm, adv. ",sal-tem,saːltɛm,saltɛm
salto," sālto, as, are ",sal-to,saːlto,salto
saltus," sāltus, us, m. ",sal-tus,saːltʊs,saltus
saluber," sălūbĕr, bris, bre ",sa-lú-ber,salʊːbɛr,salubɛr
salum," sălŭm, i, n. ",sa-lum,salʊm,salum
salus," sălus, i, m. ",sa-lus,salʊs,salus
salus," sălūs, utis, f. ",sa-lus,salʊːs,salus
salutare," sălūtāre, is, n. ",sa-lu-tá-re,salʊːtaːrɛ,salutarɛ
salutaris," sălūtārĭs, is ",sa-lu-tá-ris,salʊːtaːrɪs,salutaris
saluto," sălūto, as, are ",sa-lú-to,salʊːto,saluto
salveo," sālvĕo, es, ere ",sál-ve-o,saːlwɛo,salvɛo
salvos," sālvos, a, um ",sal-vos,saːlwos,salvos
Samnis," Sāmnīs, ītis ",Sam-nis,saːmniːs,samnis
Samnites," Sāmnītēs, ium, m. pl. ",Sam-ní-tes,saːmniːteːs,samnites
Samnitis," Sāmnītĭs, ītis, m. ",Sam-ní-tis,saːmniːtɪs,samnitis
Samnium," Sāmnĭum, ii, n. ",Sám-ni-um,saːmnɪʊm,samnjum
sancio," sāncĭo, is, ire, sanxi, sanctum ",sán-ci-o,saːnkɪo,santʃo
sanctitas," sānctĭtās, atis, f. ",sánc-ti-tas,saːnktɪtaːs,sanktitas
sanctus," sānctus, a, um ",sanc-tus,saːnktʊs,sanktus
sanctus," sānctus, i, m. ",sanc-tus,saːnktʊs,sanktus
sane," sānē, adv. ",sa-ne,saːneː,sane
sanguineus," sāngụĭnĕus, a, um ",san-guí-ne-us,saːngwɪnɛʊs,sangwinɛus
sanguis," sāngụĭs, inis, m. ",san-guis,saːngwɪs,sangwis
sanitas," sānĭtās, atis, f. ",sá-ni-tas,saːnɪtaːs,sanitas
sano," sāno, as, are ",sa-no,saːno,sano
sanus," sānus, a, um ",sa-nus,saːnʊs,sanus
sapiens," săpĭēns, entis ",sá-pi-ens,sapɪeːns,sapjens
sapienter," săpĭēntĕr, adv. ",sa-pi-én-ter,sapɪeːntɛr,sapjentɛr
sapientia," săpĭēntĭa, ae, f. ",sa-pi-én-ti-a,sapɪeːntɪa,sapjentsja
sapio," săpĭo, is, ere, ii ",sá-pi-o,sapɪo,sapjo
sapor," săpŏr, oris; m. ",sa-por,sapɔr,sapɔr
sarcina," sārcĭna, ae, f. ",sár-ci-na,saːrkɪna,sartʃina
sarcino," sārcĭno, āre ",sár-ci-no,saːrkɪno,sartʃino
Sardinia," Sārdĭnĭa, ae, f. ",Sar-dí-ni-a,saːrdɪnɪa,sardinja
sata," săta, orum, n. ",sa-ta,sata,sata
satelles," sătēllĕs, tellitis, m./ f. ",sa-tél-les,sateːllɛs,satellɛs
satietas," sătĭĕtās, atis, f. ",sa-tí-e-tas,satɪɛtaːs,satiɛtas
satio," sătĭo, as, are ",sá-ti-o,satɪo,satsjo
satis," sătĭs, adv. ",sa-tis,satɪs,satis
satisfacio," sătīsfăcĭo, is, ere, fēci, factum, intr. ",sa-tis-fá-ci-o,satiːsfakɪo,satisfatʃo
satum," satum, i, n. ",sa-tum,satʊm,satum
satur," sătŭr, ura, urum ",sa-tur,satʊr,satur
Saturninus," Sātūrnīnus, i, m. ",Sa-tur-ní-nus,saːtʊːrniːnʊs,saturninus
Saturnius," Sātūrnĭus, a, um ",Sa-túr-ni-us,saːtʊːrnɪʊs,saturnjus
Saturnus," Sātūrnus, i, m. ",Sa-túr-nus,saːtʊːrnʊs,saturnus
saucius," sāucĭus, a, um ",sáu-ci-us,saʊ̯kɪʊs,sau̯tʃus
saxum," sāxŭm, i, n. ",sa-xum,saːksʊm,saksum
scaena," scāena, ae, f. ",scæ-na,skae̯na,ʃɛna
Scaevola," Scāevŏla, ae, m. ",Scǽ-vo-la,skae̯wɔla,ʃɛvɔla
scala," scāla, ae, f. ",sca-la,skaːla,skala
scalae," scālāe, arum, f. pl. ",sca-læ,skaːlae̯,skalɛ
scando," scāndo, is, ere, scandi, scansum ",scan-do,skaːndo,skando
scapha," scăpha, ae, f. ",sca-pha,skapʰa,skafa
scaphe," scăphē, es, f. ",sca-phe,skapʰeː,skafe
sceleratus," scĕlĕrātus, a, um ",sce-le-rá-tus,skɛlɛraːtʊs,ʃɛlɛratus
scelero," scĕlĕro, as, are ",scé-le-ro,skɛlɛro,ʃɛlɛro
scelestus," scĕlēstus, a, um ",sce-lés-tus,skɛleːstʊs,ʃɛlestus
scelestus," scĕlēstus, i, m. ",sce-lés-tus,skɛleːstʊs,ʃɛlestus
scelus," scĕlŭs, eris, n. ",sce-lus,skɛlʊs,ʃɛlus
sceptrum," scēptrŭm, i, n. ",scep-trum,skeːptrʊm,ʃeptrum
schola," schŏla, ae, f. ",scho-la,skʰɔla,skɔla
sciens," scĭēns, entis ",sci-ens,skɪeːns,ʃjens
scientia," scĭēntĭa, ae, f. ",sci-én-ti-a,skɪeːntɪa,ʃjentsja
scilicet," scīlĭcĕt, adv. ",scí-li-cet,skiːlɪkɛt,ʃilitʃɛt
scindo," scīndo, is, ere, scidi, scissum ",scin-do,skiːndo,ʃindo
scio," scĭo, is, ire, sciui, scitum ",sci-o,skɪo,ʃjo
Scipio," scīpĭō̆, onis, m. ",scí-pi-o,skiːpɪoː̆,ʃipjɔ
sciscito," scīscĭto, āre ",scí-sci-to,skiːskɪto,ʃiʃito
sciscitor," scīscĭtŏr, aris, ari ",scí-sci-tor,skiːskɪtɔr,ʃiʃitɔr
scisco," scīsco, is, ere, scivi, scitum ",scis-co,skiːsko,ʃisko
scius," scĭus, a, um ",sci-us,skɪʊs,ʃjus
